transaction_id,transaction_date,posted_date,vendor_id,vendor_name,amount,currency,transaction_type,account_code,category,description,reference_number,payment_method
16,2026-02-25,2026-02-26,12,Sterling Cooper Partners,5600.00,USD,debit,5600,Marketing & Advertising,Q1 brand campaign - phase 2,INV-SC-2026-002,Wire
17,2026-03-01,2026-03-02,1,Amazon Web Services Inc.,5120.00,USD,debit,5200,Software & Subscriptions,AWS monthly usage - March (peak traffic),INV-AWS-2026-003,ACH
18,2026-03-05,2026-03-06,4,Initech Solutions,450.00,USD,debit,5200,Software & Subscriptions,Confluence add-on licenses,INV-INIT-2026-002,Wire
19,2026-03-08,2026-03-09,8,Prestige Worldwide Travel,1850.00,USD,debit,5400,Travel & Entertainment,Team offsite hotel - San Francisco,TRV-PW-2026-002,Credit Card
20,2026-03-12,2026-03-13,5,Umbrella Insurance Group,2800.00,USD,debit,5700,Insurance,Quarterly business liability insurance,INV-UIG-2026-002,ACH
21,2026-03-15,2026-03-15,11,Dunder Mifflin Paper Co.,185.00,USD,debit,5300,Office & Facilities,Standard copy paper - 15 cases,PO-DM-2026-002,Credit Card
22,2026-03-18,2026-03-19,3,Globex Corporation,12000.00,USD,debit,5500,Professional Services,SOC2 compliance audit - phase 2,INV-GLOBEX-2026-002,Wire
23,2026-03-22,2026-03-23,9,Hooli Inc.,3200.00,USD,debit,5200,Software & Subscriptions,Hooli Cloud storage and CDN - March,INV-HOOLI-2026-002,ACH
24,2026-03-25,2026-03-25,7,Wayne Enterprises,8500.00,USD,debit,5500,Professional Services,Strategic consulting - March retainer,INV-WE-2026-003,Wire
25,2026-03-28,2026-03-29,10,Pied Piper Inc.,890.00,USD,debit,5200,Software & Subscriptions,Data compression SaaS - monthly,INV-PP-2026-002,ACH
26,2026-04-02,2026-04-03,1,Amazon Web Services Inc.,4950.00,USD,debit,5200,Software & Subscriptions,AWS monthly usage - April,INV-AWS-2026-004,ACH
27,2026-04-05,2026-04-06,12,Sterling Cooper Partners,7200.00,USD,debit,5600,Marketing & Advertising,Q2 digital marketing campaign launch,INV-SC-2026-003,Wire
28,2026-04-08,2026-04-09,6,Stark Industries LLC,18400.00,USD,debit,5300,Office & Facilities,Emergency server replacement - ANOMALY,PO-STARK-2026-002,Wire
29,2026-04-12,2026-04-13,2,Acme Corp,425.80,USD,debit,5300,Office & Facilities,Office supplies - Q2 bulk order,PO-ACME-2026-003,Credit Card
30,2026-04-15,2026-04-16,5,Umbrella Insurance Group,950.00,USD,debit,5700,Insurance,Cyber insurance rider - new policy,INV-UIG-2026-003,ACH
31,2026-04-18,2026-04-19,3,Globex Corporation,4500.00,USD,debit,5500,Professional Services,Penetration testing engagement,INV-GLOBEX-2026-003,Wire
32,2026-04-22,2026-04-23,7,Wayne Enterprises,8500.00,USD,debit,5500,Professional Services,Strategic consulting - April retainer,INV-WE-2026-004,Wire
33,2026-04-25,2026-04-26,8,Prestige Worldwide Travel,2780.00,USD,debit,5400,Travel & Entertainment,Conference attendance - FinTech Summit,TRV-PW-2026-003,Credit Card
34,2026-04-28,2026-04-29,9,Hooli Inc.,3450.00,USD,debit,5200,Software & Subscriptions,Hooli Cloud - April (storage increase),INV-HOOLI-2026-003,ACH
35,2026-05-01,2026-05-02,1,Amazon Web Services Inc.,4680.00,USD,debit,5200,Software & Subscriptions,AWS monthly usage - May,INV-AWS-2026-005,ACH
36,2026-05-05,2026-05-06,10,Pied Piper Inc.,890.00,USD,debit,5200,Software & Subscriptions,Data compression SaaS - monthly,INV-PP-2026-003,ACH
37,2026-05-08,2026-05-09,4,Initech Solutions,320.00,USD,debit,5200,Software & Subscriptions,Additional Jira user seats,INV-INIT-2026-003,Wire
38,2026-05-12,2026-05-13,11,Dunder Mifflin Paper Co.,198.00,USD,debit,5300,Office & Facilities,Printer paper and envelopes,PO-DM-2026-003,Credit Card
39,2026-05-15,2026-05-16,12,Sterling Cooper Partners,5600.00,USD,debit,5600,Marketing & Advertising,Q2 brand campaign - social media,INV-SC-2026-004,Wire
40,2026-05-18,2026-05-19,7,Wayne Enterprises,8500.00,USD,debit,5500,Professional Services,Strategic consulting - May retainer,INV-WE-2026-005,Wire
41,2026-05-22,2026-05-23,3,Globex Corporation,3800.00,USD,debit,5500,Professional Services,Security assessment follow-up,INV-GLOBEX-2026-004,Wire
42,2026-05-25,2026-05-26,6,Stark Industries LLC,5200.00,USD,debit,5300,Office & Facilities,Networking equipment refresh,PO-STARK-2026-003,Wire
43,2026-06-01,2026-06-02,1,Amazon Web Services Inc.,5340.00,USD,debit,5200,Software & Subscriptions,AWS monthly usage - June,INV-AWS-2026-006,ACH
44,2026-06-05,2026-06-06,9,Hooli Inc.,3200.00,USD,debit,5200,Software & Subscriptions,Hooli Cloud storage and CDN - June,INV-HOOLI-2026-004,ACH
45,2026-06-08,2026-06-09,5,Umbrella Insurance Group,2800.00,USD,debit,5700,Insurance,Quarterly business liability insurance,INV-UIG-2026-004,ACH
46,2026-06-12,2026-06-13,8,Prestige Worldwide Travel,4150.00,USD,debit,5400,Travel & Entertainment,Team retreat flights and accommodation,TRV-PW-2026-004,Credit Card
47,2026-06-15,2026-06-16,2,Acme Corp,310.25,USD,debit,5300,Office & Facilities,Office supplies - breakroom restock,PO-ACME-2026-004,Credit Card
48,2026-06-18,2026-06-19,7,Wayne Enterprises,8500.00,USD,debit,5500,Professional Services,Strategic consulting - June retainer,INV-WE-2026-006,Wire
49,2026-06-22,2026-06-23,10,Pied Piper Inc.,890.00,USD,debit,5200,Software & Subscriptions,Data compression SaaS - monthly,INV-PP-2026-004,ACH
50,2026-06-25,2026-06-26,12,Sterling Cooper Partners,5600.00,USD,debit,5600,Marketing & Advertising,Q2 brand campaign - final phase,INV-SC-2026-005,Wire
51,2026-06-28,2026-06-29,4,Initech Solutions,1200.00,USD,debit,5200,Software & Subscriptions,Jira license mid-year true-up,INV-INIT-2026-004,Wire
